Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number
P00639,DNAS1_BOVIN,reviewed,Deoxyribonuclease-1 (EC 3.1.21.1) (Deoxyribonuclease I) (DNase I),DNASE1 DNL1,Bos taurus (Bovine),282,3.1.21.1
P00722,BGAL_ECOLI,reviewed,Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase),lacZ b0344 JW0335,Escherichia coli (strain K12),1024,3.2.1.23
P01094,IPA3_YEAST,reviewed,Protease A inhibitor 3 (Proteinase inhibitor I(A)3) (Proteinase yscA-inhibitor) (Saccharopepsin inhibitor),PAI3 YMR174C YM8010.04C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),68,
P07267,CARP_YEAST,reviewed,Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA),PEP4 PHO9 PRA1 YPL154C P2585,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),405,3.4.23.25
P0A434,OPD_BREDI,reviewed,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase) (PTE),opd,Brevundimonas diminuta (Pseudomonas diminuta),365,3.1.8.1
P15927,RFA2_HUMAN,reviewed,Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34),RPA2 REPA2 RPA32 RPA34,Homo sapiens (Human),270,
Q9DF52,PA2B_BUNCE,reviewed,Basic phospholipase A2 KPA2 (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Bungarus caeruleus (Indian krait),145,3.1.1.4
P01837,IGKC_MOUSE,reviewed,Immunoglobulin kappa constant (Ig kappa chain C region MOPC 21),Igkc,Mus musculus (Mouse),107,
P01865,GCAM_MOUSE,reviewed,"Ig gamma-2A chain C region, membrane-bound form",Igh-1a,Mus musculus (Mouse),398,
P09332,ETB_STAAU,reviewed,Exfoliative toxin B (EC 3.4.21.-) (Epidermolytic toxin B),etb,Staphylococcus aureus,277,3.4.21.-
O59952,LIP_THELA,reviewed,Lipase (EC 3.1.1.3) (Triacylglycerol lipase),LIP,Thermomyces lanuginosus (Humicola lanuginosa),291,3.1.1.3
P81511,MCPI_HIRME,reviewed,Metallocarboxypeptidase inhibitor (Leech carboxypeptidase inhibitor) (LCI),,Hirudo medicinalis (Medicinal leech),81,
Q9TUM0,TRFL_CAMDR,reviewed,Lactotransferrin (Lactoferrin) (EC 3.4.21.-),LTF,Camelus dromedarius (Dromedary) (Arabian camel),708,3.4.21.-
P11204,POL_EIAV9,reviewed,Pol polyprotein [Cleaved into: Protease (Retropepsin) (EC 3.4.23.-); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)],pol,Equine infectious anemia virus (isolate 1369) (EIAV),1146,3.4.23.-; 2.7.7.49; 3.1.26.13; 3.1.13.2; 2.7.7.-; 3.1.-.-
P06968,DUT_ECOLI,reviewed,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),dut dnaS sof b3640 JW3615,Escherichia coli (strain K12),152,3.6.1.23
P29736,MYRA_SINAL,reviewed,Myrosinase MA1 (EC 3.2.1.147) (Sinigrinase) (Thioglucosidase),,Sinapis alba (White mustard) (Brassica hirta),501,3.2.1.147
P28508,HIR3P_HIRME,reviewed,Hirudin-3A' (Hirudin IIIA'),,Hirudo medicinalis (Medicinal leech),65,
P07204,TRBM_HUMAN,reviewed,Thrombomodulin (TM) (Fetomodulin) (CD antigen CD141),THBD THRM,Homo sapiens (Human),575,
O81934,O81934_CANEN,unreviewed,Chitinase,,Canavalia ensiformis (Jack bean) (Dolichos ensiformis),270,
P26662,POLG_HCVJA,reviewed,Genome polyprotein [Cleaved into: Core protein precursor (Capsid protein C) (p23); Mature core protein (p21); Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); Viroporin p7; Protease NS2 (p23) (EC 3.4.22.-) (Non-structural protein 2) (NS2); Serine protease/helicase NS3 (EC 3.4.21.98) (EC 3.6.1.15) (EC 3.6.4.13) (Hepacivirin) (NS3 helicase) (NS3 protease) (NS3P) (Viroporin p70); Non-structural protein 4A (NS4A) (p8); Non-structural protein 4B (NS4B) (p27); Non-structural protein 5A (NS5A) (p56/58); RNA-directed RNA polymerase (EC 2.7.7.48) (NS5B) (p68)],,Hepatitis C virus genotype 1b (isolate Japanese) (HCV),3010,3.4.22.-; 3.4.21.98; 3.6.1.15; 3.6.4.13; 2.7.7.48
Q54488,Q54488_SERMA,unreviewed,Beta-lactamase (EC 3.5.2.6),sme-2 blaSME-1 blaSME-4 blaSME1 SME12620_22,Serratia marcescens,294,3.5.2.6
Q05193,DYN1_HUMAN,reviewed,Dynamin-1 (EC 3.6.5.5),DNM1 DNM,Homo sapiens (Human),864,3.6.5.5
Q7SIG5,GUN6_HUMIN,reviewed,"Endoglucanase-6B (EC 3.2.1.4) (Cellulase 6B) (Endo-1,4-beta-glucanase 6B)",cel6B,Humicola insolens (Soft-rot fungus),348,3.2.1.4
P15289,ARSA_HUMAN,reviewed,Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C],ARSA,Homo sapiens (Human),507,3.1.6.8
P37321,BLE1_PSEAI,reviewed,Extended-spectrum beta-lactamase PER-1 (EC 3.5.2.6),per1,Pseudomonas aeruginosa,308,3.5.2.6
Q01853,TERA_MOUSE,reviewed,Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP),Vcp,Mus musculus (Mouse),806,3.6.4.6
P14489,BLO10_PSEAI,reviewed,Beta-lactamase OXA-10 (EC 3.5.2.6) (Beta-lactamase PSE-2),bla oxa10 pse2,Pseudomonas aeruginosa,266,3.5.2.6
P00692,AMY_BACAM,reviewed,"Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)",,Bacillus amyloliquefaciens (Bacillus velezensis),514,3.2.1.1
P00646,CEA3_ECOLX,reviewed,Colicin-E3 (EC 3.1.-.-) (Colicin-E3 A chain) (Ribonuclease),ceaC,Escherichia coli,551,3.1.-.-
P02984,IMM3_ECOLX,reviewed,Colicin-E3 immunity protein (Colicin-E3 chain B) (ImmE3) (Microcin-E3 immunity protein),imm ceiC immB,Escherichia coli,85,
P49235,HGGL1_MAIZE,reviewed,"4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1, chloroplastic (EC 3.2.1.182) (Beta-D-glucoside glucohydrolase) (Beta-glucosidase 1) (ZmGlu1) (EC 3.2.1.21)",GLU1,Zea mays (Maize),566,3.2.1.182; 3.2.1.21
P54865,XYND_CELFI,reviewed,"Bifunctional xylanase/deacetylase [Includes: Endo-1,4-beta-xylanase D (XYLD) (Xylanase D) (EC 3.2.1.8); Acetylated xylan deacetylase (EC 3.5.1.-)]",xynD,Cellulomonas fimi,644,3.2.1.8; 3.5.1.-
P23687,PPCE_PIG,reviewed,Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme),PREP,Sus scrofa (Pig),710,3.4.21.26
Q08499,PDE4D_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)",PDE4D DPDE3,Homo sapiens (Human),809,3.1.4.53
P14916,URE23_HELPY,reviewed,Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha),ureA hpuA HP_0073,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),238,3.5.1.5
P69996,URE1_HELPY,reviewed,Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta),ureB hpuB HP_0072,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),569,3.5.1.5
Q59226,Q59226_BACSP,unreviewed,Cyclomaltodextrinase (EC 3.2.1.54),CDI5,Bacillus sp.,558,3.2.1.54
P0CS83,CARP2_CANAX,reviewed,Candidapepsin-2 (EC 3.4.23.24) (ACP 2) (Aspartate protease 2) (Secreted aspartic protease 2),SAP2 PRA11 PRA2,Candida albicans (Yeast),398,3.4.23.24
P07851,ICE1_ASCSU,reviewed,Chymotrypsin/elastase isoinhibitor 1 (AsC/E-1) (C/E-1 inhibitor),,Ascaris suum (Pig roundworm) (Ascaris lumbricoides),63,
P54583,GUN1_ACIC1,reviewed,"Endoglucanase E1 (EC 3.2.1.4) (Cellulase E1) (Endo-1,4-beta-glucanase E1) (Endocellulase E1)",Acel_0614,Acidothermus cellulolyticus (strain ATCC 43068 / 11B),562,3.2.1.4
P20533,CHIA1_BACCI,reviewed,Chitinase A1 (EC 3.2.1.14),chiA1,Bacillus circulans,699,3.2.1.14
P17901,GUNA_RUMCH,reviewed,"Endoglucanase A (EC 3.2.1.4) (Cellulase A) (EGCCA) (Endo-1,4-beta-glucanase A)",celCCA Ccel_1099,Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum),475,3.2.1.4
P05305,EDN1_HUMAN,reviewed,Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1],EDN1,Homo sapiens (Human),212,
O83008,O83008_SERMA,unreviewed,Chitinase A,chiA,Serratia marcescens,563,
P11838,CARP_CRYPA,reviewed,Endothiapepsin (EC 3.4.23.22) (Aspartate protease),EAPA EPN-1,Cryphonectria parasitica (Chestnut blight fungus) (Endothia parasitica),419,3.4.23.22
P45478,PPT1_BOVIN,reviewed,Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1),PPT1 CLN1 PPT,Bos taurus (Bovine),306,3.1.2.22
Q55088,TREZ_SACSO,reviewed,Malto-oligosyltrehalose trehalohydrolase (MTHase) (EC 3.2.1.141) (4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase) (Glycosyltrehalose trehalohydrolase) (GTHase) (Maltooligosyl trehalose trehalohydrolase),treZ,Saccharolobus solfataricus (Sulfolobus solfataricus),559,3.2.1.141
O31243,O31243_RHIRD,unreviewed,Epoxide hydrolase (EC 3.3.2.3),echA,Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter),294,3.3.2.3
Q9ZBA9,DAP_OCHAN,reviewed,D-aminopeptidase (EC 3.4.11.19),dap,Ochrobactrum anthropi,520,3.4.11.19
Q51782,PHNHY_PSEFL,reviewed,Phosphonoacetate hydrolase (EC 3.11.1.2),phnA,Pseudomonas fluorescens,407,3.11.1.2
P03070,LT_SV40,reviewed,Large T antigen (LT) (LT-AG) (EC 3.6.4.-),,Simian virus 40 (SV40),708,3.6.4.-
P52293,IMA1_MOUSE,reviewed,Importin subunit alpha-1 (Importin alpha P1) (Karyopherin subunit alpha-2) (Pendulin) (Pore targeting complex 58 kDa subunit) (PTAC58) (RAG cohort protein 1) (SRP1-alpha),Kpna2 Rch1,Mus musculus (Mouse),529,
P98072,ENTK_BOVIN,reviewed,Enteropeptidase (EC 3.4.21.9) (Enterokinase) (Serine protease 7) (Transmembrane protease serine 15) [Cleaved into: Enteropeptidase non-catalytic heavy chain; Enteropeptidase catalytic light chain],TMPRSS15 ENTK PRSS7,Bos taurus (Bovine),1035,3.4.21.9
P81708,LYSC1_CANLF,reviewed,"Lysozyme C, milk isozyme (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",,Canis lupus familiaris (Dog) (Canis familiaris),129,3.2.1.17
Q7SIG3,ELA1_SALSA,reviewed,Elastase-1 (EC 3.4.21.36),,Salmo salar (Atlantic salmon),236,3.4.21.36
P09871,C1S_HUMAN,reviewed,Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain],C1S,Homo sapiens (Human),688,3.4.21.42
P00644,NUC_STAAU,reviewed,Thermonuclease (TNase) (EC 3.1.31.1) (Micrococcal nuclease) (Staphylococcal nuclease) [Cleaved into: Nuclease B; Nuclease A],nuc,Staphylococcus aureus,231,3.1.31.1
P04418,END5_BPT4,reviewed,Endonuclease V (EC 3.2.2.17) (DNA-(apurinic or apyrimidinic site) lyase) (AP lyase) (EC 4.2.99.18) (T4 pyrimidine dimer glycosylase) (T4-Pdg),,Enterobacteria phage T4 (Bacteriophage T4),138,3.2.2.17; 4.2.99.18
P36913,EBA3_ELIME,reviewed,Endo-beta-N-acetylglucosaminidase F3 (EC 3.2.1.96) (Di-N-acetylchitobiosyl beta-N-acetylglucosaminidase F3) (Endoglycosidase F3) (Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase F3),endOF3,Elizabethkingia meningoseptica (Chryseobacterium meningosepticum),329,3.2.1.96
P05674,POLS_EEVV8,reviewed,Structural polyprotein (p130) [Cleaved into: Capsid protein (EC 3.4.21.90) (Coat protein) (C); Precursor of protein E3/E2 (p62) (pE2); Assembly protein E3; Spike glycoprotein E2 (E2 envelope glycoprotein); 6K protein; Spike glycoprotein E1 (E1 envelope glycoprotein)],,Venezuelan equine encephalitis virus (strain TC-83) (VEEV),1254,3.4.21.90
Q7SIG2,CTR1_SOLIN,reviewed,Chymotrypsin-1 (EC 3.4.21.1) (Chymotrypsin I) (Soli C1),,Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri),222,3.4.21.1
P01016,ANGT_HORSE,reviewed,Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4] (Fragment),AGT SERPINA8,Equus caballus (Horse),14,
P60327,DCAS_AGRSK,reviewed,N-carbamoyl-D-amino acid hydrolase (EC 3.5.1.77) (D-N-alpha-carbamilase),,Agrobacterium sp. (strain KNK712),304,3.5.1.77
P39042,DACX_STRSK,reviewed,D-alanyl-D-alanine carboxypeptidase (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein) (PBP),,Streptomyces sp. (strain K15),291,3.4.16.4
P22266,ESTA_STRSC,reviewed,Esterase (EC 3.1.1.-),estA,Streptomyces scabiei,345,3.1.1.-
P05806,NPRE_BACCE,reviewed,Bacillolysin (EC 3.4.24.28) (Neutral protease),npr nprC,Bacillus cereus,566,3.4.24.28
P00591,LIPP_PIG,reviewed,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),PNLIP,Sus scrofa (Pig),450,3.1.1.3
P02703,COL_PIG,reviewed,Colipase (Procolipase II),CLPS,Sus scrofa (Pig),112,
P45452,MMP13_HUMAN,reviewed,Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13),MMP13,Homo sapiens (Human),471,3.4.24.-
P80219,DDN1_BOVIN,reviewed,Duodenase-1 (EC 3.4.21.-) (Duodenase I) (Duodenum serine protease),BDMD1,Bos taurus (Bovine),251,3.4.21.-
P12295,UNG_ECOLI,reviewed,Uracil-DNA glycosylase (UDG) (EC 3.2.2.27),ung b2580 JW2564,Escherichia coli (strain K12),229,3.2.2.27
P14739,UNGI_BPPB2,reviewed,Uracil-DNA glycosylase inhibitor,UGI,Bacillus phage PBS2 (Bacteriophage PBS2),84,
Q02834,NANH_MICVI,reviewed,Sialidase (EC 3.2.1.18) (Neuraminidase),nedA,Micromonospora viridifaciens,647,3.2.1.18
Q02724,ULP1_YEAST,reviewed,Ubiquitin-like-specific protease 1 (EC 3.4.22.68),ULP1 YPL020C LPB11C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),621,3.4.22.68
Q12306,SMT3_YEAST,reviewed,Ubiquitin-like protein SMT3,SMT3 YDR510W D9719.15,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),101,
P50187,T2N1_LENAE,reviewed,Type-2 restriction enzyme NaeI (R.NaeI) (EC 3.1.21.4) (Endonuclease NaeI) (Type II restriction enzyme NaeI),naeIR,Lentzea aerocolonigenes (Lechevalieria aerocolonigenes) (Saccharothrix aerocolonigenes),317,3.1.21.4
P05187,PPB1_HUMAN,reviewed,"Alkaline phosphatase, placental type (EC 3.1.3.1) (Alkaline phosphatase Regan isozyme) (Placental alkaline phosphatase 1) (PLAP-1)",ALPP PLAP,Homo sapiens (Human),535,3.1.3.1
Q9XEI3,Q9XEI3_HORVV,unreviewed,Beta-D-glucan exohydrolase isoenzyme ExoI,,Hordeum vulgare subsp. vulgare (Domesticated barley),630,
P26876,LIP_PSEAE,reviewed,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase),lip lipA PA2862,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),311,3.1.1.3
P07986,GUX_CELFI,reviewed,"Exoglucanase/xylanase [Includes: Exoglucanase (EC 3.2.1.91) (1,4-beta-cellobiohydrolase) (Beta-1,4-glycanase CEX) (Exocellobiohydrolase); Endo-1,4-beta-xylanase B (Xylanase B) (EC 3.2.1.8)]",cex xynB,Cellulomonas fimi,484,3.2.1.91; 3.2.1.8
P23657,T2P2_PROHU,reviewed,Type-2 restriction enzyme PvuII (R.PvuII) (EC 3.1.21.4) (Endonuclease PvuII) (Type II restriction enzyme PvuII),pvuIIR,Proteus hauseri,157,3.1.21.4
P14756,ELAS_PSEAE,reviewed,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase],lasB PA3724,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),498,3.4.24.26
P83851,IUNH_LEIMA,reviewed,Inosine-uridine preferring nucleoside hydrolase (IU-NH) (IU-nucleoside hydrolase) (EC 3.2.2.2) (EC 3.2.2.3) (Non-specific nucleoside hydrolase),NSNH,Leishmania major,314,3.2.2.2; 3.2.2.3
P01009,A1AT_HUMAN,reviewed,Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)],SERPINA1 AAT PI PRO0684 PRO2209,Homo sapiens (Human),418,
P03116,VE1_BPV1,reviewed,Replication protein E1 (EC 3.6.4.12) (ATP-dependent helicase E1),E1,Bovine papillomavirus type 1,605,3.6.4.12
P84147,P84147_STRSM,unreviewed,Phospholipase D (EC 3.1.4.4),,Streptomyces sp. (strain PMF),506,3.1.4.4
Q07343,PDE4B_HUMAN,reviewed,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B (EC 3.1.4.53) (DPDE4) (PDE32)",PDE4B DPDE4,Homo sapiens (Human),736,3.1.4.53
P55210,CASP7_HUMAN,reviewed,Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11],CASP7 MCH3,Homo sapiens (Human),303,3.4.22.60
P0A7Y4,RNH_ECOLI,reviewed,Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H),rnhA dasF herA rnh sdrA b0214 JW0204,Escherichia coli (strain K12),155,3.1.26.4
Q7M523,1A1D_CYBSA,reviewed,1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7),,Cyberlindnera saturnus (Yeast) (Williopsis saturnus),341,3.5.99.7
O54786,DFFA_MOUSE,reviewed,DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD),Dffa Icad,Mus musculus (Mouse),331,
P10295,ITR2_MOMCH,reviewed,Trypsin inhibitor 2 (MCTI-A) (MCTI-II) (Trypsin inhibitor II),,Momordica charantia (Bitter gourd) (Balsam pear),28,
P04228,HA2D_MOUSE,reviewed,"H-2 class II histocompatibility antigen, A-D alpha chain",H2-Aa,Mus musculus (Mouse),256,
Q31135,Q31135_MOUSE,unreviewed,H2-Ab1 protein,H2-Ab1,Mus musculus (Mouse),263,
P35269,T2FA_HUMAN,reviewed,General transcription factor IIF subunit 1 (General transcription factor IIF 74 kDa subunit) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha) (Transcription initiation factor RAP74),GTF2F1 RAP74,Homo sapiens (Human),517,
O04841,O04841_LUPAN,unreviewed,"Diadenosine 5',5'''-P1,P4-tetraphosphate hydrolase (EC 3.6.1.17)",,Lupinus angustifolius (Narrow-leaved blue lupine),199,3.6.1.17
P08690,ARSA1_ECOLX,reviewed,Arsenical pump-driving ATPase (EC 7.3.2.7) (Arsenical resistance ATPase) (Arsenite-translocating ATPase) (Arsenite-transporting ATPase),arsA,Escherichia coli,583,7.3.2.7
P77853,P77853_DICTH,unreviewed,"Endo-1,4-beta-xylanase (EC 3.2.1.8)",xynB,Dictyoglomus thermophilum,360,3.2.1.8
Q58989,SERB_METJA,reviewed,Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase),MJ1594,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),211,3.1.3.3
P19835,CEL_HUMAN,reviewed,Bile salt-activated lipase (BAL) (EC 3.1.1.13) (EC 3.1.1.3) (EC 3.1.1.6) (Bile salt-stimulated lipase) (BSSL) (Bucelipase) (Carboxyl ester lipase) (Cholesterol esterase) (Pancreatic lysophospholipase) (Sterol esterase),CEL BAL,Homo sapiens (Human),753,3.1.1.13; 3.1.1.3; 3.1.1.6
Q9YX54,Q9YX54_9HIV1,unreviewed,Gag polyprotein,gag,HIV-1 CRF04_cpx,500,
P10844,BXB_CLOBO,reviewed,Botulinum neurotoxin type B (BoNT/B) (Bontoxilysin-B) [Cleaved into: Botulinum neurotoxin B light chain (LC) (EC 3.4.24.69); Botulinum neurotoxin B heavy chain (HC)],botB,Clostridium botulinum,1291,3.4.24.69
Q14790,CASP8_HUMAN,reviewed,Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10],CASP8 MCH5,Homo sapiens (Human),479,3.4.22.61
P10537,AMYB_IPOBA,reviewed,"Beta-amylase (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase)",BMY1 AMYB,Ipomoea batatas (Sweet potato) (Convolvulus batatas),499,3.2.1.2
P0DOJ5,LT_POVM3,reviewed,Large T antigen (LT) (LT-AG) (EC 3.6.4.-),,Murine polyomavirus (strain A3) (MPyV),782,3.6.4.-
P0A7A9,IPYR_ECOLI,reviewed,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),ppa b4226 JW4185,Escherichia coli (strain K12),176,3.6.1.1
Q6UV28,Q6UV28_STRVN,unreviewed,Phospholipase A2,,Streptomyces violaceoruber,150,
P30793,GCH1_HUMAN,reviewed,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I),GCH1 DYT5 GCH,Homo sapiens (Human),250,3.5.4.16
P00704,LYSC_NUMME,reviewed,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",LYZ,Numida meleagris (Helmeted guineafowl) (Phasianus meleagris),129,3.2.1.17
P01868,IGHG1_MOUSE,reviewed,Ig gamma-1 chain C region secreted form,Ighg1 Igh-4,Mus musculus (Mouse),324,
P21692,MMP1_PIG,reviewed,Interstitial collagenase (EC 3.4.24.7) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 18 kDa interstitial collagenase],MMP1,Sus scrofa (Pig),469,3.4.24.7
O04073,CTPA_TETOB,reviewed,"C-terminal processing peptidase, chloroplastic (EC 3.4.21.102) (D1 C-terminal processing protease) (Photosystem II D1 protein processing peptidase)",ctpA D1P,Tetradesmus obliquus (Green alga) (Acutodesmus obliquus),464,3.4.21.102
Q08169,HUGA_APIME,reviewed,Hyaluronidase (Hya) (EC 3.2.1.35) (Allergen Api m II) (Hyaluronoglucosaminidase) (allergen Api m 2),,Apis mellifera (Honeybee),382,3.2.1.35
O31156,PHNX_BACCE,reviewed,Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase),phnX,Bacillus cereus,264,3.11.1.1
O60911,CATL2_HUMAN,reviewed,Cathepsin L2 (EC 3.4.22.43) (Cathepsin U) (Cathepsin V),CTSV CATL2 CTSL2 CTSU UNQ268/PRO305,Homo sapiens (Human),334,3.4.22.43
P49789,FHIT_HUMAN,reviewed,"Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)",FHIT,Homo sapiens (Human),147,3.6.1.29
P48842,GANA_ASPAC,reviewed,"Arabinogalactan endo-beta-1,4-galactanase (EC 3.2.1.89) (Endo-1,4-beta-galactanase) (Galactanase)",gal1,Aspergillus aculeatus,350,3.2.1.89
P18291,GRAB_RAT,reviewed,Granzyme B (EC 3.4.21.79) (Fragmentin) (Natural killer cell protease 1) (RNKP-1),Gzmb,Rattus norvegicus (Rat),248,3.4.21.79
P31032,T2M4_NEIGO,reviewed,Type-2 restriction enzyme NgoMIV (R.NgoMIV) (EC 3.1.21.4) (Endonuclease NgoMIV) (Type II restriction enzyme NgoMIV),ngoMIVR,Neisseria gonorrhoeae,286,3.1.21.4
P08001,ACRO_PIG,reviewed,Acrosin (EC 3.4.21.10) (53 kDa fucose-binding protein) [Cleaved into: Acrosin light chain; Acrosin heavy chain],ACR,Sus scrofa (Pig),415,3.4.21.10
O75608,LYPA1_HUMAN,reviewed,Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I),LYPLA1 APT1 LPL1,Homo sapiens (Human),230,3.1.2.-
P00800,THER_BACTH,reviewed,Thermolysin (EC 3.4.24.27) (Thermostable neutral proteinase),npr,Bacillus thermoproteolyticus,548,3.4.24.27
P62139,PP1A_RABIT,reviewed,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16),PPP1CA PPP1A,Oryctolagus cuniculus (Rabbit),330,3.1.3.16
P56817,BACE1_HUMAN,reviewed,Beta-secretase 1 (EC 3.4.23.46) (Aspartyl protease 2) (ASP2) (Asp 2) (Beta-site amyloid precursor protein cleaving enzyme 1) (Beta-site APP cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2),BACE1 BACE KIAA1149,Homo sapiens (Human),501,3.4.23.46
